,Event times,Fitted stations,Moveout intercept,Moveout slope (s/km),Event?,
247,2011-06-29T01:10:45.330000Z,5,23.49967353,-0.435814692,,
248,2011-06-29T01:53:18.880000Z,3,-41.82071747,0.303740521,,
249,2011-06-29T02:21:39.120000Z,3,7.590121302,-0.478807875,,
250,2011-06-29T03:05:31.230000Z,4,7.863532001,-0.973657706,,
251,2011-06-29T03:15:25.220000Z,3,-0.112309723,0.279008816,,
252,2011-06-29T03:42:03.240000Z,7,-2.92416265,0.888700196,Y,
253,2011-06-29T03:50:25.220000Z,6,-1.7602522,0.396145919,,
254,2011-06-29T05:03:06.620000Z,6,-4.014676059,0.430409905,,
255,2011-06-29T05:22:02.410000Z,3,-140.2612344,16.86362325,,
256,2011-06-29T05:27:30.630000Z,3,-25.50754147,0.23556089,,
257,2011-06-29T05:55:54.450000Z,3,-37.71698161,0.213246753,,
258,2011-06-29T06:04:34.380000Z,4,0.776653134,0.042439771,,
259,2011-06-29T06:45:59.900000Z,3,6.239607288,-0.780491391,,
260,2011-06-29T06:49:20.460000Z,3,8.721472098,-0.798326491,,
261,2011-06-29T07:50:34.210000Z,7,-4.01901399,0.951336388,Y,
262,2011-06-29T08:01:46.840000Z,7,73.96104077,0.714980341,Y,
263,2011-06-29T08:46:08.260000Z,5,-8.263609501,0.490034706,Y,
264,2011-06-29T09:18:30.320000Z,4,-19.36279332,1.7581615,,
265,2011-06-29T09:19:45.660000Z,3,-106.2181075,3.844873678,,
266,2011-06-29T10:27:23.719900Z,4,-1.426718795,0.171274411,,
267,2011-06-29T10:48:23.539900Z,5,-1.092932002,0.382931625,,
268,2011-06-29T11:47:15.229900Z,4,6.496233118,-0.698306178,,
269,2011-06-29T11:51:09.299900Z,6,-0.631798677,0.301255409,,
270,2011-06-29T12:01:24.419900Z,3,-10.0583889,0.285705212,,
271,2011-06-29T12:05:47.699900Z,4,-3.916203625,0.275774996,,
272,2011-06-29T12:29:28.489900Z,4,-0.264062417,0.191585451,,
273,2011-06-29T12:51:42.489900Z,3,8.435531421,-0.196448215,,
274,2011-06-29T13:32:40.199900Z,3,-37.94168619,-0.688346956,,
275,2011-06-29T13:39:02.460000Z,3,-81.17845425,-0.692057448,,
276,2011-06-29T14:45:51.895000Z,3,-66.56349061,-0.969853824,,
277,2011-06-29T15:20:37.749900Z,4,-98.0351882,0.324626556,,
278,2011-06-29T17:09:53.349900Z,3,78.41153464,0.564088031,,
279,2011-06-29T17:26:29.269900Z,6,-2.346656272,0.394814515,,
280,2011-06-29T18:37:15.839900Z,6,4.213785342,-0.244993788,,
281,2011-06-29T18:48:05.779900Z,4,6.892199772,-0.664488367,,
